Score_Comercial,Es_Desarrollo_Propio,Precio_Confiable,Municipio,Colonia,Operación,Tipo,Título/Colonia,Precio,precio_m2,precio_m2_vs_mediana,Recámaras,Baños,m²,Completitud,codigo_eb,Liga,lat,lon
79.5,,True,Guadalajara,Las Torres,VENTA,Departamento,"Reducción de Precio!!  Casa Habitación, Departamento y Local Comercial",3700000.0,15416.666666666666,0.766622864651774,5.0,3.0,240.0,1.0,EB-JS0745,https://www.aciertamax.com/property/mercado-de-abastos-casa-habitacion-departamento-y-local-comercial-las-torres,20.6520782,-103.3775998
77.8,,True,Zapopan,Prados Vallarta,VENTA,Departamento,Edificio en venta Prados Vallarta 2 deptos 2 locales,7950000.0,19437.65281173594,0.7279735104368352,6.0,2.0,409.0,1.0,EB-VZ1700,https://www.aciertamax.com/property/edificio-en-venta-prados-vallarta-2-deptos-2-locales,20.6765365,-103.4188677
77.1,,True,Tlaquepaque,La Duraznera,VENTA,Casa,Casa en Venta en colonia Solidaridad,2800000.0,7608.695652173913,0.7135527178735388,5.0,3.0,368.0,1.0,EB-OI2654,https://www.aciertamax.com/property/casa-en-venta-en-la-duraznera,20.5934546,-103.3111428
77.0,,True,Zapopan,Jardines Universidad,RENTA,Departamento,¡VIVE A LO GRANDE! | DEPARTAMENTO EN NACIONES UNIDAS,26500.0,88.33333333333333,0.7114592414064237,3.0,3.0,300.0,1.0,EB-WW0313,https://www.aciertamax.com/property/vive-a-lo-grande-departamento-en-naciones-unidas,20.6872994571,-103.4237958363
76.5,,True,Guadalajara,Italia Providencia,VENTA,Departamento,Departamento en Venta en Italia Providencia (PREVENTA),3630667.0,19756.581596560918,0.7009253350954247,3.0,2.0,183.77,1.0,EB-WN2666,https://www.aciertamax.com/property/departamento-en-venta-en-italia-providencia-preventa,20.6907016,-103.3752919
76.5,,True,Guadalajara,Analco,VENTA,Casa,Casona en Analco de 734m2,8000000.0,8205.128205128205,0.6997874804262404,4.0,3.0,975.0,1.0,EB-PU1528,https://www.aciertamax.com/property/casona-en-analco-de-734m2,20.6673725,-103.338041
76.4,,True,Guadalajara,Analco,VENTA,Departamento,Departamento cerca del Centro de GDL,2650000.0,20015.10574018127,0.6970118027241942,2.0,2.0,132.4,1.0,EB-VJ3479,https://www.aciertamax.com/property/departamento-cerca-del-centro-de-gdl,20.6634864483,-103.3393616521
76.2,,True,Zapopan,Parques de Tesistán,RENTA,Departamento,Departamento en venta en Altaluz Zapopan,15000.0,93.75,0.6937657043228552,2.0,2.0,160.0,1.0,EB-RR6467,https://www.aciertamax.com/property/ph-en-altaluz-vida-vertical-a-estrenar,20.7880677,-103.4612099
76.2,,True,Zapopan,Las Cañadas,VENTA,Casa,RESIDENCIA “LAS CAÑADAS COUNTRY CLUB”,26000000.0,11026.29346904156,0.6942488787192123,4.0,4.0,2358.0,1.0,EB-WO2318,https://www.aciertamax.com/property/residencia-las-canadas-country-club,20.780174,-103.368115
75.6,,True,Zapopan,Ciudad Bugambilia,VENTA,Casa en condominio,Casa en venta ubicada en Bugambilias II,18000000.0,13090.90909090909,0.6808311688311689,5.0,5.0,1375.0,1.0,EB-PD8135,https://www.aciertamax.com/property/casa-en-venta-ubicada-en-bugambilias-ii,20.6083556,-103.4754983
74.9,,True,Zapopan,San José Ejidal,VENTA,Casa,Casa en Venta,12107500.0,12107.5,0.6642678057408066,12.0,8.0,1000.0,1.0,EB-UH0359,https://www.aciertamax.com/property/casa-en-venta-san-jose-ejidal,20.810966,-103.4609352
74.8,,True,Guadalajara,El Retiro,VENTA,Casa,EL RETIRO GUADALAJARA JALISCO.,2450000.0,9245.283018867925,0.6617298791831044,3.0,2.0,265.0,1.0,EB-OP2707,https://www.aciertamax.com/property/el-retiro-guadalajara-jalisco-el-retiro,20.6869447,-103.3367073
74.6,,True,Zapopan,Jardines Universidad,RENTA,Departamento,DEPARTAMENTO EN RENTA JARDINES UNIVERSIDAD,28500.0,104.77941176470588,0.6577381401255441,3.0,3.0,272.0,1.0,EB-WT2821,https://www.aciertamax.com/property/departamento-en-renta-jardines-universidas,20.6864666,-103.4231836
74.4,,True,Guadalajara,Balcones de Oblatos,VENTA,Casa,CASA EN VENTA AV CIRCUNVALACION OBLATOS COL BALCONES DE OBLATOS GUADALAJARA,4600000.0,9484.536082474227,0.6529759921937339,9.0,2.0,485.0,1.0,EB-RJ7774,https://www.aciertamax.com/property/casa-en-venta-av-circunvalacion-oblatos-col-balcones-de-oblatos-guadalajara,20.687877,-103.2916299
74.4,,True,Guadalajara,Ciudad Bugambilia,VENTA,Departamento,PH VENTA - BUGAMBILIAS,10000000.0,22831.0502283105,0.6543841016686768,4.0,4.0,438.0,1.0,EB-TK2055,https://www.aciertamax.com/property/ph-venta-bugambilias,20.6121224,-103.4486481
74.4,,True,Guadalajara,Ciudad Bugambilia,VENTA,Departamento,PH - VENTA - BUGAMBILIAS,10000000.0,22831.0502283105,0.6543841016686768,4.0,4.0,438.0,1.0,EB-TK2130,https://www.aciertamax.com/property/ph-venta-bugambilias-ciudad-bugambilia,20.6121224,-103.4486481
74.2,,True,Tlaquepaque,Jardines de La Paz,VENTA,Casa,"Propiedad en Venta – Jardines de la Paz, Tlaquepaque",3000000.0,9302.32558139535,0.6497920271676487,10.0,3.0,322.5,1.0,EB-TQ4646,https://www.aciertamax.com/property/propiedad-en-venta-jardines-de-la-paz-tlaquepaque-jardines-de-la-paz,20.6428654684,-103.3025228361
74.1,,True,Tlajomulco de Zúñiga,Jardines de La Calera,VENTA,Casa,"Casa en Venta, Jardines de la Calera, Tlajomulco, Jalisco",2600000.0,9523.809523809523,0.647001493788028,4.0,3.0,273.0,1.0,EB-WN2657,https://www.aciertamax.com/property/casa-en-venta-jardines-de-la-calera-tlajomulco-jalisco,20.460343,-103.271478
74.1,,True,Guadalajara,Tetlán,VENTA,Casa,Casa en Venta,2900000.0,9666.666666666666,0.6463121253771644,2.0,1.0,300.0,1.0,EB-UT4587,https://www.aciertamax.com/property/casa-en-venta-tetlan-guadalajara,20.6629742,-103.272176
74.1,,True,Tlaquepaque,Villa Fontana,RENTA,Local comercial,"LOCAL COMERCIAL EN VENTA Y RENTA EN TLAQUEPAQUE, JALISCO (RESTAURANTE)",68000.0,80.0,0.7846579208130361,,2.0,850.0,0.75,EB-UR9760,https://www.aciertamax.com/property/local-comercial-en-venta-en-tlaquepaque-jalisco-restaurante,20.564085,-103.3552206
74.0,,True,Zapopan,Prados Vallarta,RENTA,Oficina,Oficinas en RENTA con excelente ubicación,17000.0,125.92592592592592,0.7826120857699805,,1.0,135.0,0.75,EB-WG1992,https://www.aciertamax.com/property/oficinas-en-renta-con-excelente-ubicacion-prados-vallarta,20.6742458,-103.4166483
73.8,,True,Tlajomulco de Zúñiga,Cajititlán,VENTA,Casa,CASA CAMPESTRE CAJITITLÁN EN VENTA,2190000.0,9733.333333333334,0.6392355266513644,2.0,1.0,225.0,1.0,EB-RY6642,https://www.aciertamax.com/property/casa-campestre-santa-rosa,20.4312277,-103.3088801
73.8,,True,Zapopan,Fraccionamiento Jardines de Guadalupe,RENTA,Departamento,ENORME DEPARTAMENTO EN RENTA EN JARDINES DE GUADALUPE ZAPOPAN,26500.0,110.41666666666667,0.6393240517580294,3.0,2.0,240.0,1.0,EB-WV3035,https://www.aciertamax.com/property/enorme-departamento-en-renta-en-jardines-de-guadalupe-zapopan-fraccionamiento-jardines-de-guadalupe-zapopan,20.6638564,-103.4276865
73.7,,True,Zapopan,Santa Ana Tepetitlán,VENTA,Rancho,Cortijo La Caballa,23000000.0,11500.0,0.6374248362536479,3.0,10.0,2000.0,1.0,EB-TH3253,https://www.aciertamax.com/property/corrijo-la-caballa,20.626077,-103.4528765
73.5,,True,Zapopan,Lomas de Zapopan,VENTA,Casa,Casa en venta en Lomas de Zapopan,7865000.0,13196.308724832215,0.6340759294396318,9.0,4.0,596.0,1.0,EB-WU5498,https://www.aciertamax.com/property/casa-en-venta-en-lomas-de-zapopan-a9a89a18-2495-4585-9d2b-40cdb775022b,20.7436847,-103.3965093
73.3,,True,Guadalajara,Lomas del Paraíso 1a. Sección,VENTA,Casa,"En Lomas del paraíso, Uso mixto,Negocio o casase vende como terreno, en esquina",2500000.0,10162.60162601626,0.6281666583023175,4.0,2.0,246.0,1.0,EB-TX1855,https://www.aciertamax.com/property/casa-en-esquina-se-vende-como-terreno,20.7240843749,-103.3246834253
73.2,,True,Guadalajara,Lomas del Paraíso 1a. Sección,VENTA,Casa con uso de suelo,"En Lomas del paraíso para casa  o negocio se vende como terreno, en esquina",2500000.0,10162.60162601626,0.6263019539974537,4.0,2.0,246.0,1.0,EB-VB7992,https://www.aciertamax.com/property/para-negocio-en-lomas-del-paraiso-se-vende-como-terreno-en-esquina,20.7240843749,-103.3246834253
